student,title,type,status,final score
abbyjere,T06D09,INDIVIDUAL,FAILED,0
albettbu,T06D09,INDIVIDUAL,ACCEPTED,101
althease,T06D09,INDIVIDUAL,FAILED,0
aqualada,T06D09,INDIVIDUAL,FAILED,0
ariellem,T06D09,INDIVIDUAL,FAILED,0
arlethab,T06D09,INDIVIDUAL,FAILED,0
arwynjac,T06D09,INDIVIDUAL,FAILED,0
ayakofuj,T06D09,INDIVIDUAL,FAILED,0
barbafra,T06D09,INDIVIDUAL,FAILED,0
brittnib,T06D09,INDIVIDUAL,FAILED,0
chongvir,T06D09,INDIVIDUAL,FAILED,0
cindalig,T06D09,INDIVIDUAL,FAILED,0
claudeco,T06D09,INDIVIDUAL,FAILED,0
colettac,T06D09,INDIVIDUAL,FAILED,0
connorla,T06D09,INDIVIDUAL,FAILED,0
coraleey,T06D09,INDIVIDUAL,FAILED,0
donaljac,T06D09,INDIVIDUAL,FAILED,0
dougalmo,T06D09,INDIVIDUAL,FAILED,0
ellarias,T06D09,INDIVIDUAL,FAILED,0
emelyaur,T06D09,INDIVIDUAL,ACCEPTED,122
eorlundw,T06D09,INDIVIDUAL,FAILED,0
flaviama,T06D09,INDIVIDUAL,FAILED,0
galbartt,T06D09,INDIVIDUAL,FAILED,0
goldenun,T06D09,INDIVIDUAL,FAILED,0
halistic,T06D09,INDIVIDUAL,FAILED,0
harlangu,T06D09,INDIVIDUAL,FAILED,0
hazraksa,T06D09,INDIVIDUAL,FAILED,0
hettiewa,T06D09,INDIVIDUAL,FAILED,0
hizdahrs,T06D09,INDIVIDUAL,ACCEPTED,91
hoppered,T06D09,INDIVIDUAL,FAILED,0
illaoigl,T06D09,INDIVIDUAL,FAILED,0
jameyadr,T06D09,INDIVIDUAL,FAILED,0
janaespy,T06D09,INDIVIDUAL,FAILED,0
jestwhis,T06D09,INDIVIDUAL,FAILED,0
jettaduu,T06D09,INDIVIDUAL,FAILED,0
johniebl,T06D09,INDIVIDUAL,FAILED,0
johnieer,T06D09,INDIVIDUAL,FAILED,0
karrieco,T06D09,INDIVIDUAL,FAILED,0
kathyblu,T06D09,INDIVIDUAL,ACCEPTED,100
leotasch,T06D09,INDIVIDUAL,FAILED,0
magobarb,T06D09,INDIVIDUAL,FAILED,0
managiml,T06D09,INDIVIDUAL,FAILED,0
martiank,T06D09,INDIVIDUAL,FAILED,0
marvinad,T06D09,INDIVIDUAL,FAILED,0
meadowsl,T06D09,INDIVIDUAL,FAILED,0
meralynl,T06D09,INDIVIDUAL,ACCEPTED,105
micahann,T06D09,INDIVIDUAL,FAILED,0
mikkirub,T06D09,INDIVIDUAL,FAILED,0
