student,title,type,status,final score
advisorj,T08D11,INDIVIDUAL,FAILED,0
almedace,T08D11,INDIVIDUAL,FAILED,0
amadagra,T08D11,INDIVIDUAL,ACCEPTED,155
amandaci,T08D11,INDIVIDUAL,IN_REVIEWS,None
anyamode,T08D11,INDIVIDUAL,ACCEPTED,141
arethari,T08D11,INDIVIDUAL,FAILED,0
artieulr,T08D11,INDIVIDUAL,ACCEPTED,165
auradaba,T08D11,INDIVIDUAL,FAILED,0
baileyre,T08D11,INDIVIDUAL,FAILED,0
balonchr,T08D11,INDIVIDUAL,FAILED,0
balonsno,T08D11,INDIVIDUAL,FAILED,0
bantamko,T08D11,INDIVIDUAL,IN_REVIEWS,None
barbrawu,T08D11,INDIVIDUAL,FAILED,0
bethelgr,T08D11,INDIVIDUAL,FAILED,0
billysan,T08D11,INDIVIDUAL,FAILED,0
bornpatr,T08D11,INDIVIDUAL,FAILED,0
brentonc,T08D11,INDIVIDUAL,ACCEPTED,163
brucetoy,T08D11,INDIVIDUAL,FAILED,0
brunavan,T08D11,INDIVIDUAL,FAILED,0
caitdumb,T08D11,INDIVIDUAL,FAILED,0
caladanl,T08D11,INDIVIDUAL,FAILED,0
careymis,T08D11,INDIVIDUAL,ACCEPTED,143
caswelld,T08D11,INDIVIDUAL,FAILED,0
caswellq,T08D11,INDIVIDUAL,ACCEPTED,171
celsafer,T08D11,INDIVIDUAL,FAILED,0
chesthil,T08D11,INDIVIDUAL,IN_REVIEWS,None
chestshr,T08D11,INDIVIDUAL,IN_REVIEWS,None
cindiese,T08D11,INDIVIDUAL,FAILED,0
cotterge,T08D11,INDIVIDUAL,FAILED,0
crowbrya,T08D11,INDIVIDUAL,ACCEPTED,173
cumquatl,T08D11,INDIVIDUAL,FAILED,0
cyrusgar,T08D11,INDIVIDUAL,FAILED,0
darcytaj,T08D11,INDIVIDUAL,FAILED,0
daynasar,T08D11,INDIVIDUAL,FAILED,0
deodatth,T08D11,INDIVIDUAL,FAILED,0
desperop,T08D11,INDIVIDUAL,FAILED,0
dhansakp,T08D11,INDIVIDUAL,IN_REVIEWS,None
dianeevi,T08D11,INDIVIDUAL,ACCEPTED,158
diedraje,T08D11,INDIVIDUAL,FAILED,0
diedrero,T08D11,INDIVIDUAL,FAILED,0
dorrisst,T08D11,INDIVIDUAL,FAILED,0
effietif,T08D11,INDIVIDUAL,FAILED,0
eladiare,T08D11,INDIVIDUAL,IN_REVIEWS,None
elannama,T08D11,INDIVIDUAL,FAILED,0
elijahth,T08D11,INDIVIDUAL,FAILED,0
ellabaie,T08D11,INDIVIDUAL,FAILED,0
elliottd,T08D11,INDIVIDUAL,IN_REVIEWS,None
enokiatk,T08D11,INDIVIDUAL,FAILED,0
erenacla,T08D11,INDIVIDUAL,FAILED,0
essieale,T08D11,INDIVIDUAL,FAILED,0
ethicalc,T08D11,INDIVIDUAL,FAILED,0
eulaurro,T08D11,INDIVIDUAL,FAILED,0
evenstar,T08D11,INDIVIDUAL,FAILED,0
farrahro,T08D11,INDIVIDUAL,FAILED,0
fenrircr,T08D11,INDIVIDUAL,FAILED,0
flammezo,T08D11,INDIVIDUAL,FAILED,0
fletamal,T08D11,INDIVIDUAL,FAILED,0
frynneli,T08D11,INDIVIDUAL,IN_REVIEWS,None
galinagl,T08D11,INDIVIDUAL,FAILED,0
gauntter,T08D11,INDIVIDUAL,FAILED,0
geroldke,T08D11,INDIVIDUAL,FAILED,0
gerstens,T08D11,INDIVIDUAL,FAILED,0
gladisde,T08D11,INDIVIDUAL,IN_REVIEWS,None
gruntinf,T08D11,INDIVIDUAL,FAILED,0
haywardt,T08D11,INDIVIDUAL,FAILED,0
hilaryle,T08D11,INDIVIDUAL,IN_REVIEWS,None
hothoreg,T08D11,INDIVIDUAL,IN_REVIEWS,None
howdjese,T08D11,INDIVIDUAL,FAILED,0
ibleelec,T08D11,INDIVIDUAL,FAILED,0
illaoiar,T08D11,INDIVIDUAL,FAILED,0
isaacshe,T08D11,INDIVIDUAL,FAILED,0
jamissaf,T08D11,INDIVIDUAL,ACCEPTED,165
jasperal,T08D11,INDIVIDUAL,FAILED,0
jeramymi,T08D11,INDIVIDUAL,FAILED,0
joanacla,T08D11,INDIVIDUAL,FAILED,0
johnnyge,T08D11,INDIVIDUAL,IN_REVIEWS,None
johnsien,T08D11,INDIVIDUAL,FAILED,0
jothskin,T08D11,INDIVIDUAL,FAILED,0
jovansha,T08D11,INDIVIDUAL,ACCEPTED,155
judicarm,T08D11,INDIVIDUAL,IN_REVIEWS,None
kaciemag,T08D11,INDIVIDUAL,IN_REVIEWS,None
kafkanor,T08D11,INDIVIDUAL,IN_REVIEWS,None
karinwin,T08D11,INDIVIDUAL,FAILED,0
kelleeta,T08D11,INDIVIDUAL,IN_REVIEWS,None
keytarni,T08D11,INDIVIDUAL,FAILED,0
kitschel,T08D11,INDIVIDUAL,IN_REVIEWS,None
kramerpe,T08D11,INDIVIDUAL,FAILED,0
kriskath,T08D11,INDIVIDUAL,FAILED,0
laciedel,T08D11,INDIVIDUAL,ACCEPTED,133
lacyshin,T08D11,INDIVIDUAL,FAILED,0
ladderpe,T08D11,INDIVIDUAL,ACCEPTED,84
lainepab,T08D11,INDIVIDUAL,FAILED,0
lainepro,T08D11,INDIVIDUAL,IN_REVIEWS,None
lalakrys,T08D11,INDIVIDUAL,FAILED,0
lannithe,T08D11,INDIVIDUAL,FAILED,0
largomor,T08D11,INDIVIDUAL,ACCEPTED,157
likttrad,T08D11,INDIVIDUAL,FAILED,0
lomokraz,T08D11,INDIVIDUAL,FAILED,0
lonnalar,T08D11,INDIVIDUAL,FAILED,0
lopeshig,T08D11,INDIVIDUAL,FAILED,0
lordarde,T08D11,INDIVIDUAL,FAILED,0
loreanko,T08D11,INDIVIDUAL,IN_REVIEWS,None
loreleir,T08D11,INDIVIDUAL,IN_REVIEWS,None
luthorsh,T08D11,INDIVIDUAL,IN_REVIEWS,None
magdacer,T08D11,INDIVIDUAL,FAILED,0
mahialmo,T08D11,INDIVIDUAL,IN_REVIEWS,None
malleonc,T08D11,INDIVIDUAL,IN_REVIEWS,None
mandakar,T08D11,INDIVIDUAL,FAILED,0
marquisd,T08D11,INDIVIDUAL,ACCEPTED,173
mashacar,T08D11,INDIVIDUAL,IN_REVIEWS,None
matchpar,T08D11,INDIVIDUAL,FAILED,0
matildae,T08D11,INDIVIDUAL,FAILED,0
maulange,T08D11,INDIVIDUAL,FAILED,0
mellieja,T08D11,INDIVIDUAL,FAILED,0
millydav,T08D11,INDIVIDUAL,FAILED,0
minellar,T08D11,INDIVIDUAL,FAILED,0
missmath,T08D11,INDIVIDUAL,FAILED,0
mollensh,T08D11,INDIVIDUAL,FAILED,0
mormontl,T08D11,INDIVIDUAL,FAILED,0
muckstri,T08D11,INDIVIDUAL,FAILED,0
mudcraby,T08D11,INDIVIDUAL,FAILED,0
nailsmar,T08D11,INDIVIDUAL,FAILED,0
naomanub,T08D11,INDIVIDUAL,FAILED,0
ninfasee,T08D11,INDIVIDUAL,FAILED,0
nonastar,T08D11,INDIVIDUAL,FAILED,0
nonawait,T08D11,INDIVIDUAL,IN_REVIEWS,None
norreyma,T08D11,INDIVIDUAL,FAILED,0
okraeuni,T08D11,INDIVIDUAL,FAILED,0
opalreel,T08D11,INDIVIDUAL,FAILED,0
orionmet,T08D11,INDIVIDUAL,ACCEPTED,149
parvatir,T08D11,INDIVIDUAL,FAILED,0
pearliec,T08D11,INDIVIDUAL,FAILED,0
pepitasl,T08D11,INDIVIDUAL,FAILED,0
qarlforn,T08D11,INDIVIDUAL,FAILED,0
ramsaydr,T08D11,INDIVIDUAL,FAILED,0
raymondk,T08D11,INDIVIDUAL,ACCEPTED,167
reathabo,T08D11,INDIVIDUAL,IN_REVIEWS,None
rendadew,T08D11,INDIVIDUAL,FAILED,0
richtyre,T08D11,INDIVIDUAL,ACCEPTED,136
rinkofle,T08D11,INDIVIDUAL,FAILED,0
rockypot,T08D11,INDIVIDUAL,FAILED,0
rogantom,T08D11,INDIVIDUAL,IN_REVIEWS,None
rosaural,T08D11,INDIVIDUAL,FAILED,0
salazarc,T08D11,INDIVIDUAL,IN_REVIEWS,None
salviagl,T08D11,INDIVIDUAL,FAILED,0
scheinsh,T08D11,INDIVIDUAL,FAILED,0
seastarn,T08D11,INDIVIDUAL,FAILED,0
selmypai,T08D11,INDIVIDUAL,FAILED,0
semeleem,T08D11,INDIVIDUAL,FAILED,0
sharladi,T08D11,INDIVIDUAL,FAILED,0
shawnnag,T08D11,INDIVIDUAL,FAILED,0
shenrodu,T08D11,INDIVIDUAL,FAILED,0
shettdee,T08D11,INDIVIDUAL,FAILED,0
solegraz,T08D11,INDIVIDUAL,IN_REVIEWS,None
staceeca,T08D11,INDIVIDUAL,ACCEPTED,175
steelyow,T08D11,INDIVIDUAL,FAILED,0
sundaehi,T08D11,INDIVIDUAL,FAILED,0
tamekath,T08D11,INDIVIDUAL,FAILED,0
templema,T08D11,INDIVIDUAL,FAILED,0
tendantc,T08D11,INDIVIDUAL,FAILED,0
terralip,T08D11,INDIVIDUAL,FAILED,0
tesskyok,T08D11,INDIVIDUAL,FAILED,0
tiesemoo,T08D11,INDIVIDUAL,IN_REVIEWS,None
tolletth,T08D11,INDIVIDUAL,FAILED,0
tucodaug,T08D11,INDIVIDUAL,IN_REVIEWS,None
tweakcri,T08D11,INDIVIDUAL,FAILED,0
veigarde,T08D11,INDIVIDUAL,ACCEPTED,164
vinniegr,T08D11,INDIVIDUAL,FAILED,0
virgenst,T08D11,INDIVIDUAL,FAILED,0
vixenpro,T08D11,INDIVIDUAL,IN_REVIEWS,None
watersri,T08D11,INDIVIDUAL,IN_REVIEWS,None
wendyken,T08D11,INDIVIDUAL,FAILED,0
xerathma,T08D11,INDIVIDUAL,ACCEPTED,153
yuunacad,T08D11,INDIVIDUAL,FAILED,0
yuunaela,T08D11,INDIVIDUAL,FAILED,0
adrienla,T08D11,INDIVIDUAL,IN_REVIEWS,None
aemongli,T08D11,INDIVIDUAL,FAILED,0
albinali,T08D11,INDIVIDUAL,IN_REVIEWS,None
alexiaki,T08D11,INDIVIDUAL,ACCEPTED,143
amymoneg,T08D11,INDIVIDUAL,IN_REVIEWS,None
aprilkiz,T08D11,INDIVIDUAL,IN_REVIEWS,None
ardellaa,T08D11,INDIVIDUAL,FAILED,0
arlettaw,T08D11,INDIVIDUAL,IN_REVIEWS,None
arneldlo,T08D11,INDIVIDUAL,FAILED,0
arnitaho,T08D11,INDIVIDUAL,FAILED,0
arwenhel,T08D11,INDIVIDUAL,FAILED,0
auroreex,T08D11,INDIVIDUAL,FAILED,0
avengerm,T08D11,INDIVIDUAL,FAILED,0
azzielan,T08D11,INDIVIDUAL,FAILED,0
bandybry,T08D11,INDIVIDUAL,FAILED,0
barbracr,T08D11,INDIVIDUAL,FAILED,0
bellyreg,T08D11,INDIVIDUAL,FAILED,0
billietr,T08D11,INDIVIDUAL,FAILED,0
billywil,T08D11,INDIVIDUAL,FAILED,0
blaisele,T08D11,INDIVIDUAL,FAILED,0
borvojor,T08D11,INDIVIDUAL,FAILED,0
bradbigg,T08D11,INDIVIDUAL,FAILED,0
breamblo,T08D11,INDIVIDUAL,ACCEPTED,165
broggcas,T08D11,INDIVIDUAL,IN_REVIEWS,None
capersel,T08D11,INDIVIDUAL,FAILED,0
carlysea,T08D11,INDIVIDUAL,FAILED,0
carmelal,T08D11,INDIVIDUAL,FAILED,0
casieigg,T08D11,INDIVIDUAL,ACCEPTED,133
casseydo,T08D11,INDIVIDUAL,FAILED,0
chadzula,T08D11,INDIVIDUAL,ACCEPTED,164
chuckalf,T08D11,INDIVIDUAL,FAILED,0
clockver,T08D11,INDIVIDUAL,FAILED,0
collioqy,T08D11,INDIVIDUAL,FAILED,0
crackedc,T08D11,INDIVIDUAL,FAILED,0
dagmarja,T08D11,INDIVIDUAL,FAILED,0
dagnybea,T08D11,INDIVIDUAL,FAILED,0
dareonhe,T08D11,INDIVIDUAL,FAILED,0
darialif,T08D11,INDIVIDUAL,FAILED,0
delilagl,T08D11,INDIVIDUAL,IN_REVIEWS,None
dexterla,T08D11,INDIVIDUAL,FAILED,0
dhazzarn,T08D11,INDIVIDUAL,ACCEPTED,161
dodieozz,T08D11,INDIVIDUAL,FAILED,0
dolliema,T08D11,INDIVIDUAL,FAILED,0
donaldwi,T08D11,INDIVIDUAL,FAILED,0
dwightgr,T08D11,INDIVIDUAL,FAILED,0
eddawhit,T08D11,INDIVIDUAL,FAILED,0
elkelync,T08D11,INDIVIDUAL,FAILED,0
elletand,T08D11,INDIVIDUAL,IN_REVIEWS,None
faliakyl,T08D11,INDIVIDUAL,FAILED,0
farlenpe,T08D11,INDIVIDUAL,IN_REVIEWS,None
feijoaru,T08D11,INDIVIDUAL,FAILED,0
fenixfre,T08D11,INDIVIDUAL,FAILED,0
fetamimi,T08D11,INDIVIDUAL,FAILED,0
fisherha,T08D11,INDIVIDUAL,FAILED,0
flannelf,T08D11,INDIVIDUAL,FAILED,0
