student,title,type,status,final score
abbyjere,T09D15,INDIVIDUAL,FAILED,0
albettbu,T09D15,INDIVIDUAL,IN_REVIEWS,None
althease,T09D15,INDIVIDUAL,FAILED,0
aqualada,T09D15,INDIVIDUAL,FAILED,0
ariellem,T09D15,INDIVIDUAL,FAILED,0
arlethab,T09D15,INDIVIDUAL,FAILED,0
arwynjac,T09D15,INDIVIDUAL,FAILED,0
ayakofuj,T09D15,INDIVIDUAL,IN_REVIEWS,None
barbafra,T09D15,INDIVIDUAL,FAILED,0
brittnib,T09D15,INDIVIDUAL,IN_REVIEWS,None
chongvir,T09D15,INDIVIDUAL,FAILED,0
cindalig,T09D15,INDIVIDUAL,FAILED,0
claudeco,T09D15,INDIVIDUAL,FAILED,0
colettac,T09D15,INDIVIDUAL,FAILED,0
connorla,T09D15,INDIVIDUAL,FAILED,0
coraleey,T09D15,INDIVIDUAL,FAILED,0
donaljac,T09D15,INDIVIDUAL, ,None
dougalmo,T09D15,INDIVIDUAL,FAILED,0
ellarias,T09D15,INDIVIDUAL,FAILED,0
emelyaur,T09D15,INDIVIDUAL,FAILED,0
eorlundw,T09D15,INDIVIDUAL,FAILED,0
flaviama,T09D15,INDIVIDUAL,FAILED,0
galbartt,T09D15,INDIVIDUAL,FAILED,0
goldenun,T09D15,INDIVIDUAL,FAILED,0
halistic,T09D15,INDIVIDUAL,FAILED,0
harlangu,T09D15,INDIVIDUAL,FAILED,0
hazraksa,T09D15,INDIVIDUAL,IN_REVIEWS,None
hettiewa,T09D15,INDIVIDUAL,FAILED,0
hizdahrs,T09D15,INDIVIDUAL,FAILED,0
hoppered,T09D15,INDIVIDUAL,FAILED,0
illaoigl,T09D15,INDIVIDUAL,FAILED,0
jameyadr,T09D15,INDIVIDUAL,FAILED,0
janaespy,T09D15,INDIVIDUAL,FAILED,0
jestwhis,T09D15,INDIVIDUAL,FAILED,20
jettaduu,T09D15,INDIVIDUAL,FAILED,0
johniebl,T09D15,INDIVIDUAL,FAILED,0
johnieer,T09D15,INDIVIDUAL,FAILED,20
karrieco,T09D15,INDIVIDUAL,FAILED,0
kathyblu,T09D15,INDIVIDUAL,FAILED,20
leotasch,T09D15,INDIVIDUAL,FAILED,0
magobarb,T09D15,INDIVIDUAL,ACCEPTED,80
managiml,T09D15,INDIVIDUAL,IN_REVIEWS,None
martiank,T09D15,INDIVIDUAL,FAILED,0
marvinad,T09D15,INDIVIDUAL,IN_REVIEWS,None
meadowsl,T09D15,INDIVIDUAL,FAILED,0
meralynl,T09D15,INDIVIDUAL,FAILED,0
micahann,T09D15,INDIVIDUAL,FAILED,0
mikkirub,T09D15,INDIVIDUAL,FAILED,0
moniquec,T09D15,INDIVIDUAL,FAILED,0
motherka,T09D15,INDIVIDUAL,FAILED,0
namikari,T09D15,INDIVIDUAL,IN_REVIEWS,None
norahara,T09D15,INDIVIDUAL,IN_REVIEWS,None
onionflo,T09D15,INDIVIDUAL,FAILED,0
orientba,T09D15,INDIVIDUAL,FAILED,0
pallasar,T09D15,INDIVIDUAL,IN_REVIEWS,None
palmasev,T09D15,INDIVIDUAL,FAILED,0
randalci,T09D15,INDIVIDUAL,FAILED,0
rivaharm,T09D15,INDIVIDUAL,IN_REVIEWS,None
roonemac,T09D15,INDIVIDUAL,IN_REVIEWS,None
rygerbee,T09D15,INDIVIDUAL,FAILED,0
salviama,T09D15,INDIVIDUAL,FAILED,0
santanao,T09D15,INDIVIDUAL,FAILED,0
savannat,T09D15,INDIVIDUAL,FAILED,0
shandage,T09D15,INDIVIDUAL,FAILED,0
slavetar,T09D15,INDIVIDUAL,FAILED,0
sloeycar,T09D15,INDIVIDUAL,FAILED,0
slowmose,T09D15,INDIVIDUAL,IN_REVIEWS,None
snokeepi,T09D15,INDIVIDUAL,FAILED,0
sonyashi,T09D15,INDIVIDUAL,FAILED,0
staceelu,T09D15,INDIVIDUAL,FAILED,0
stevenha,T09D15,INDIVIDUAL,IN_REVIEWS,None
tarthden,T09D15,INDIVIDUAL,FAILED,0
tickhung,T09D15,INDIVIDUAL,FAILED,0
tonieirw,T09D15,INDIVIDUAL,FAILED,0
tylergar,T09D15,INDIVIDUAL,FAILED,0
ulmeraet,T09D15,INDIVIDUAL,FAILED,0
