student,title,type,status,final score
abbyjere,T03D03,INDIVIDUAL,FAILED,0
albettbu,T03D03,INDIVIDUAL,ACCEPTED,89
althease,T03D03,INDIVIDUAL,FAILED,0
aqualada,T03D03,INDIVIDUAL,FAILED,0
ariellem,T03D03,INDIVIDUAL,FAILED,0
arlethab,T03D03,INDIVIDUAL,FAILED,0
arwynjac,T03D03,INDIVIDUAL,FAILED,0
ayakofuj,T03D03,INDIVIDUAL,FAILED,0
barbafra,T03D03,INDIVIDUAL,FAILED,0
brittnib,T03D03,INDIVIDUAL,FAILED,0
chongvir,T03D03,INDIVIDUAL,FAILED,0
cindalig,T03D03,INDIVIDUAL,FAILED,0
claudeco,T03D03,INDIVIDUAL,FAILED,0
colettac,T03D03,INDIVIDUAL,FAILED,0
connorla,T03D03,INDIVIDUAL,FAILED,0
coraleey,T03D03,INDIVIDUAL,FAILED,0
donaljac,T03D03,INDIVIDUAL,FAILED,0
dougalmo,T03D03,INDIVIDUAL,FAILED,0
ellarias,T03D03,INDIVIDUAL,FAILED,0
emelyaur,T03D03,INDIVIDUAL,ACCEPTED,80
eorlundw,T03D03,INDIVIDUAL,FAILED,0
flaviama,T03D03,INDIVIDUAL,FAILED,0
galbartt,T03D03,INDIVIDUAL,FAILED,0
goldenun,T03D03,INDIVIDUAL,FAILED,0
halistic,T03D03,INDIVIDUAL,FAILED,0
harlangu,T03D03,INDIVIDUAL,FAILED,0
hazraksa,T03D03,INDIVIDUAL,ACCEPTED,96
hettiewa,T03D03,INDIVIDUAL,FAILED,0
hizdahrs,T03D03,INDIVIDUAL,FAILED,0
hoppered,T03D03,INDIVIDUAL,FAILED,0
illaoigl,T03D03,INDIVIDUAL,FAILED,0
jameyadr,T03D03,INDIVIDUAL,FAILED,0
janaespy,T03D03,INDIVIDUAL,FAILED,0
jestwhis,T03D03,INDIVIDUAL,FAILED,0
jettaduu,T03D03,INDIVIDUAL,FAILED,0
johniebl,T03D03,INDIVIDUAL,FAILED,0
