student,title,type,status,final score
abbyjere,T08D11,INDIVIDUAL,FAILED,0
albettbu,T08D11,INDIVIDUAL,ACCEPTED,137
althease,T08D11,INDIVIDUAL,FAILED,0
aqualada,T08D11,INDIVIDUAL,FAILED,0
ariellem,T08D11,INDIVIDUAL,FAILED,0
arlethab,T08D11,INDIVIDUAL,FAILED,0
arwynjac,T08D11,INDIVIDUAL,FAILED,0
ayakofuj,T08D11,INDIVIDUAL,FAILED,0
barbafra,T08D11,INDIVIDUAL,FAILED,0
brittnib,T08D11,INDIVIDUAL,FAILED,0
chongvir,T08D11,INDIVIDUAL,FAILED,0
cindalig,T08D11,INDIVIDUAL,FAILED,0
claudeco,T08D11,INDIVIDUAL,FAILED,0
colettac,T08D11,INDIVIDUAL,FAILED,0
connorla,T08D11,INDIVIDUAL,FAILED,0
coraleey,T08D11,INDIVIDUAL,FAILED,0
donaljac,T08D11,INDIVIDUAL,FAILED,0
dougalmo,T08D11,INDIVIDUAL,FAILED,0
ellarias,T08D11,INDIVIDUAL,FAILED,0
emelyaur,T08D11,INDIVIDUAL,ACCEPTED,147
eorlundw,T08D11,INDIVIDUAL,FAILED,0
flaviama,T08D11,INDIVIDUAL,FAILED,0
galbartt,T08D11,INDIVIDUAL,FAILED,0
goldenun,T08D11,INDIVIDUAL,FAILED,0
halistic,T08D11,INDIVIDUAL,FAILED,0
harlangu,T08D11,INDIVIDUAL,FAILED,0
hazraksa,T08D11,INDIVIDUAL,FAILED,0
hettiewa,T08D11,INDIVIDUAL,FAILED,0
hizdahrs,T08D11,INDIVIDUAL,FAILED,0
hoppered,T08D11,INDIVIDUAL,FAILED,0
illaoigl,T08D11,INDIVIDUAL,FAILED,0
jameyadr,T08D11,INDIVIDUAL,FAILED,0
janaespy,T08D11,INDIVIDUAL,FAILED,0
jestwhis,T08D11,INDIVIDUAL,FAILED,0
jettaduu,T08D11,INDIVIDUAL,FAILED,0
johniebl,T08D11,INDIVIDUAL,FAILED,0
johnieer,T08D11,INDIVIDUAL,FAILED,0
karrieco,T08D11,INDIVIDUAL,FAILED,0
kathyblu,T08D11,INDIVIDUAL,FAILED,0
leotasch,T08D11,INDIVIDUAL,FAILED,0
